file	line	path	start	class	gate	detail
chapters/r7b-platform-integration.md	226	base.py	5584	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	229	base.py	5611	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	230	base.py	5627	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	231	base.py	5656	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	232	base.py	5711	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	233	base.py	5715	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	234	base.py	5731	AMBIGUOUS	gate-visible	9 个候选
chapters/r7b-platform-integration.md	235	base.py	5746	AMBIGUOUS	gate-visible	9 个候选
chapters/r8b-cli-trunk-and-interaction.md	197	server.py	5811	AMBIGUOUS	gate-visible	4 个候选
chapters/r9a-capability-organization.md	430	creating-skills.md	178	AMBIGUOUS	gate-visible	2 个候选
notes/r10-90-handover-rulings.md	398	cron.py	143	AMBIGUOUS	gate-visible	3 个候选
notes/r10-raw-desktop-electron.md	365	main.ts	430	UNIQUE-SUFFIX	gate-visible	apps/desktop/electron/main.ts
notes/r10-raw-native-vendor.md	423	sqlite3.h	712	UNIQUE-SUFFIX	gate-visible	native/fts5_cjk/vendor/sqlite3.h
notes/r10-raw-native-vendor.md	452	usr/include/sqlite3.h	149	ABSPATH	gate-visible	usr/include/sqlite3.h
notes/r10-raw-native-vendor.md	569	sqlite3.h	13714	UNIQUE-SUFFIX	gate-visible	native/fts5_cjk/vendor/sqlite3.h
notes/r10-raw-native-vendor.md	718	vendor/sqlite3.h	149	UNIQUE-SUFFIX	gate-visible	native/fts5_cjk/vendor/sqlite3.h
notes/r10-raw-ui-tui-components.md	1202	textInput.tsx	1297	UNIQUE-SUFFIX	gate-visible	ui-tui/src/components/textInput.tsx
notes/r10-raw-ui-tui-core.md	673	server.py	3136	AMBIGUOUS	gate-visible	4 个候选
notes/r10-raw-ui-tui-core.md	676	server.py	3380	AMBIGUOUS	gate-visible	4 个候选
notes/r10-raw-ui-tui-core.md	678	entry.py	447	AMBIGUOUS	gate-visible	2 个候选
notes/r10-raw-ui-tui-core.md	678	ws.py	319	UNIQUE-SUFFIX	gate-visible	tui_gateway/ws.py
notes/r10-raw-ui-tui-core.md	680	server.py	5519	AMBIGUOUS	gate-visible	4 个候选
notes/r10-raw-ui-tui-core.md	682	server.py	9334	AMBIGUOUS	gate-visible	4 个候选
notes/r10-raw-ui-tui-core.md	1539	turnController.ts	877	UNIQUE-SUFFIX	gate-visible	ui-tui/src/app/turnController.ts
notes/r10-raw-ui-tui-core.md	1539	createGatewayEventHandler.ts	1094	UNIQUE-SUFFIX	gate-visible	ui-tui/src/app/createGatewayEventHandler.ts
notes/r10-raw-ui-tui-core.md	1619	gatewayClient.ts	651	AMBIGUOUS	gate-visible	2 个候选
notes/r10b-01-scope-and-criteria.md	193	n.lineno	4	NOT-IN-TREE	GATE-BLIND	n.lineno
notes/r10b-01-scope-and-criteria.md	221	github/workflows/ci.yml	12	NOT-IN-TREE	gate-visible	github/workflows/ci.yml
notes/r10b-01-scope-and-criteria.md	297	example.rs	443	NOT-IN-TREE	GATE-BLIND	example.rs
notes/r10b-92-mainline-crosschecks.md	273	install_script.rs	327	UNIQUE-SUFFIX	gate-visible	apps/bootstrap-installer/src-tauri/src/install_script.rs
notes/r10b-raw-build-package.md	413	src/bootstrap.rs	4	UNIQUE-SUFFIX	gate-visible	apps/bootstrap-installer/src-tauri/src/bootstrap.rs
notes/r10b-raw-build-package.md	413	src/lib.rs	1	UNIQUE-SUFFIX	gate-visible	apps/bootstrap-installer/src-tauri/src/lib.rs
notes/r10b-raw-build-package.md	413	src/paths.rs	3	UNIQUE-SUFFIX	gate-visible	apps/bootstrap-installer/src-tauri/src/paths.rs
notes/r10b-raw-build-package.md	413	src/update.rs	1	UNIQUE-SUFFIX	gate-visible	apps/bootstrap-installer/src-tauri/src/update.rs
notes/r10b-raw-build-package.md	1484	perf/README.md	46	UNIQUE-SUFFIX	gate-visible	apps/desktop/scripts/perf/README.md
notes/r10b-raw-capability-panels.md	1202	components/chat/intro.tsx	5	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/chat/intro.tsx
notes/r10b-raw-capability-panels.md	1203	contrib/runtime-loader.ts	13	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/contrib/runtime-loader.ts
notes/r10b-raw-lib-themes.md	1044	perf-probe.tsx	458	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/chat/perf-probe.tsx
notes/r10b-raw-lib-themes.md	1044	debug/README.md	57	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/debug/README.md
notes/r10b-raw-lib-themes.md	1044	scripts/profile-typing-lag.md	387	UNIQUE-SUFFIX	gate-visible	apps/desktop/scripts/profile-typing-lag.md
notes/r10b-raw-lib-themes.md	1165	4.5	1	NOT-IN-TREE	GATE-BLIND	4.5
notes/r10b-raw-lib-themes.md	1541	store/session-states.ts	236	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/store/session-states.ts
notes/r10b-raw-lib-themes.md	1546	store/session-states.ts	236	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/store/session-states.ts
notes/r10b-raw-lib-themes.md	1600	src/components/ui/codicon.tsx	1	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/ui/codicon.tsx
notes/r10b-raw-lib-themes.md	1763	fallback.tsx	282	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/assistant-ui/tool/fallback.tsx
notes/r10b-raw-lib-themes.md	1773	fallback.tsx	282	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/assistant-ui/tool/fallback.tsx
notes/r10b-raw-message-render.md	886	fallback-model/index.ts	775	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/assistant-ui/tool/fallback-model/index.ts
notes/r10b-raw-message-render.md	1515	changed-files.ts	47	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/assistant-ui/thread/changed-files.ts
notes/r10b-raw-pane-shell-ui.md	1361	tree-split.tsx	401	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/pane-shell/tree/renderer/tree-split.tsx
notes/r10b-raw-pane-shell-ui.md	1366	tree-split.tsx	382	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/pane-shell/tree/renderer/tree-split.tsx
notes/r10b-raw-pane-shell-ui.md	1366	store.ts	1630	AMBIGUOUS	gate-visible	4 个候选
notes/r10b-raw-pane-shell-ui.md	1366	store/profile-share.ts	131	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/store/profile-share.ts
notes/r10b-raw-pane-shell-ui.md	1369	tree-split.tsx	401	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/pane-shell/tree/renderer/tree-split.tsx
notes/r10b-raw-pane-shell-ui.md	1369	tree-split.tsx	595	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/components/pane-shell/tree/renderer/tree-split.tsx
notes/r10b-raw-pane-shell-ui.md	1372	store/profile-share.ts	131	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/store/profile-share.ts
notes/r10b-raw-settings-billing.md	942	settings/index.tsx	167	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/settings/index.tsx
notes/r10b-raw-settings-billing.md	994	billing/index.tsx	142	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/settings/billing/index.tsx
notes/r10b-raw-settings-billing.md	994	billing/auto-reload-row.tsx	136	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/settings/billing/auto-reload-row.tsx
notes/r10b-raw-settings-billing.md	1179	billing/index.tsx	26	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/settings/billing/index.tsx
notes/r10b-raw-settings-billing.md	1415	features/personality.md	214	AMBIGUOUS	gate-visible	2 个候选
notes/r10b-raw-shell-overlays.md	420	apps/desktop/src/styles.css	215	RESOLVED-BASELINE	GATE-BLIND	扩展名不在 CITE_EXTS 白名单上
notes/r10b-raw-shell-overlays.md	616	use-config-record.ts	4	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/hooks/use-config-record.ts
notes/r10b-raw-shell-overlays.md	616	use-debounced.ts	1	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/hooks/use-debounced.ts
notes/r10b-raw-shell-overlays.md	616	use-keybinds.ts	2	UNIQUE-SUFFIX	gate-visible	apps/desktop/src/app/hooks/use-keybinds.ts
